probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
14,20160518,3333,193.0.10.197,2001:67c:2e8:13:220:4aff:fec8:25d5,system-v1,v4-v6-works
57,20160518,20621,217.69.64.206,2001:aa8:fffe:3:220:4aff:fec8:2098,system-v1,v4-v6-works
93,20160518,681,192.107.171.139,2001:df0:4:800:220:4aff:fec8:249f,system-v1,v4-v6-works
114,20160518,2607,192.108.131.3,2001:4118:100:1:220:4aff:fec8:227a,system-v1,v4-v6-works
122,20160518,2852,195.113.232.222,2001:718:1:10:220:4aff:fec8:25bc,system-v1,v4-v6-works
134,20160518,3292,,,system-v1,v4-v6-works
138,20160518,39029,87.238.56.246,2a02:c0:303::1,system-v1,v4-v6-works
142,20160518,12637,85.94.192.29,2001:4b78:2:a:220:4aff:febf:fc46,system-v1,v4-v6-works
143,20160518,29134,217.31.48.35,2001:1ab0:7e1e:c:220:4aff:fec8:239a,system-v1,v4-v6-works
144,20160518,12637,212.25.179.151,2001:4b78:1:f:220:4aff:fec8:22f6,system-v1,v4-v6-works
147,20160518,8903,212.49.129.251,2001:ac0::220:4aff:febf:fd49,system-v1,v4-v6-works
148,20160518,6881,195.47.235.60,2a02:38::220:4aff:fec6:ccaf,system-v1,v4-v6-works
150,20160518,15744,,,system-v1,v4-v6-works
156,20160518,29140,217.31.94.229,2a00:15a8:94:224:220:4aff:febf:fdcd,system-v1,v4-v6-works
169,20160518,34244,85.30.131.37,2a02:80:3fff:0:220:4aff:fec8:2710,system-v1,v4-v6-works
175,20160518,2607,,,system-v1,v4-v6-works
184,20160518,15389,,,system-v1,v4-v6-works
195,20160518,1213,,,system-v1,v4-v6-works
199,20160518,766,192.148.201.129,2001:720:418:caf7:220:4aff:fec6:cc71,system-v1,v4-v6-works
205,20160518,39839,,,system-v1,v4-v6-works
213,20160518,12731,213.128.135.169,2001:868:100:2c0:220:4aff:fec8:2518,system-v1,v4-v6-works
217,20160518,15474,,,system-v1,v4-v6-works
218,20160518,2852,147.230.16.42,2001:718:1c01:16:220:4aff:fec8:24b5,system-v1,v4-v6-works
224,20160518,8331,,,system-v1,v4-v6-works
227,20160518,6083,160.124.48.190,2001:42a0:1000:48:220:4aff:fec8:2603,system-v1,v4-v6-works
236,20160518,1103,192.87.118.139,2001:610:514:118:220:4aff:febf:fdd4,system-v1,v4-v6-works
241,20160518,8359,195.34.46.43,2a02:28:2:a:220:4aff:fec8:22d6,system-v1,v4-v6-works
248,20160518,30971,,,system-v1,v4-v6-works
249,20160518,137,193.206.159.190,2001:760:0:159:220:4aff:fec8:250c,system-v1,v4-v6-works
250,20160518,13030,82.197.168.110,2001:1620:2777:21:220:4aff:fec6:cc8d,system-v1,v4-v6-works
265,20160518,39912,95.143.80.138,2a01:100:1028:0:220:4aff:fec8:24bc,system-v1,v4-v6-works
266,20160518,12931,,,system-v1,v4-v6-works
267,20160518,12337,213.95.173.146,2001:780:100:4::2,system-v1,v4-v6-works
269,20160518,2602,,,system-v1,v4-v6-works
314,20160518,20712,46.250.252.47,2001:8b0:1633:0:220:4aff:fec8:229d,system-v1,v4-v6-works
326,20160518,3320,,,system-v1,v4-v6-works
331,20160518,7377,169.228.127.14,2607:f720:b00:136:220:4aff:fec6:cd68,system-v1,v4-v6-works
335,20160518,513,137.138.32.177,2001:1458:201:b459::100:3f,system-v1,v4-v6-works
342,20160518,28000,,,system-v1,v4-v6-works
345,20160518,1734,192.159.10.200,2620:0:930:0:220:4aff:fec6:cbed,system-v1,v4-v6-works
348,20160518,39837,,,system-v1,v4-v6-works
357,20160518,1764,81.16.152.170,2a01:190:1700:30::2,system-v1,v4-v6-works
371,20160518,20712,81.187.213.242,2001:8b0:80:1:220:4aff:febf:fd3c,system-v1,v4-v6-works
380,20160518,25192,217.31.202.27,2001:1488:ffff:0:220:4aff:fec6:ccb1,system-v1,v4-v6-works
386,20160518,5381,,,system-v1,v4-v6-works
396,20160518,30781,194.117.244.174,2a01:240:801:300:220:4aff:fec6:cbf6,system-v1,v4-v6-works
400,20160518,6939,,,system-v1,v4-v6-works
401,20160518,8359,195.34.46.44,2a02:28:2:a:220:4aff:fec8:244d,system-v1,v4-v6-works
405,20160518,766,,,system-v1,v4-v6-works
414,20160518,1853,,,system-v1,v4-v6-works
425,20160518,8190,135.196.236.206,2a01:98:1ffe:2:3::b,system-v1,v4-v6-works
426,20160518,6939,,,system-v1,v4-v6-works
433,20160518,39029,87.238.47.102,2a02:c0:101::1,system-v1,v4-v6-works
434,20160518,5538,92.240.65.61,2a02:500:4400:701:220:4aff:fec8:25bb,system-v1,v4-v6-works
446,20160518,37708,196.192.112.229,2001:43f8:90:608:220:4aff:fec6:ccab,system-v1,v4-v6-works
452,20160518,13030,82.197.168.106,2001:1620:2777:22:220:4aff:febf:fde2,system-v1,v4-v6-works
456,20160518,34245,,,system-v1,v4-v6-works
461,20160518,5539,,,system-v1,v4-v6-works
473,20160518,3741,196.4.161.3,2c0f:fc00:53:4161:220:4aff:fec8:2447,system-v1,v4-v6-works
474,20160518,1835,130.226.100.65,2001:878:0:e264:220:4aff:febf:fc74,system-v1,v4-v6-works
518,20160518,29075,212.85.144.248,2a02:2178:1:1:220:4aff:febf:fba0,system-v1,v4-v6-works
524,20160518,199399,176.126.38.186,2001:7f8:6e:2:220:4aff:febf:fbbc,system-v1,v4-v6-works
538,20160518,16154,217.79.79.54,2a02:7900:1:2::2,system-v1,v4-v6-works
539,20160518,15782,81.186.241.8,2001:7a0:1:4:220:4aff:febf:fbef,system-v1,v4-v6-works
555,20160518,680,193.174.247.95,2001:638:206:1:220:4aff:febf:ff40,system-v1,v4-v6-works
558,20160518,12628,193.110.180.206,2001:67c:2738:200:220:4aff:febf:ff56,system-v1,v4-v6-works
559,20160518,5408,194.177.211.250,2001:648::220:4aff:febf:ff42,system-v1,v4-v6-works
563,20160518,13306,185.20.88.30,2a00:4e60::30,system-v1,v4-v6-works
566,20160518,760,,,system-v1,v4-v6-works
567,20160518,2609,193.95.66.40,2001:4350:1:1:220:4aff:febf:ff48,system-v1,v4-v6-works
578,20160518,1764,81.16.152.178,2a01:190:1700:2a:220:4aff:febf:ff67,system-v1,v4-v6-works
589,20160518,1853,,,system-v1,v4-v6-works
600,20160518,50168,31.31.161.66,2a02:4b00:1:99:220:4aff:febf:ff80,system-v1,v4-v6-works
607,20160518,56791,176.32.128.19,2a00:9e80:0:c010:220:4aff:febf:ff6f,system-v1,v4-v6-works
610,20160518,34688,194.116.252.246,2a01:5e00:0:11:220:4aff:febf:ff89,system-v1,v4-v6-works
616,20160518,51290,91.216.191.246,2001:67c:2044:f597::2,system-v1,v4-v6-works
