probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
1,20160518,3265,,,system-v1,v4-v6-works
3,20160518,3265,83.160.101.12,2001:981:6590:1:220:4aff:fec8:2532,system-v1,v4-v6-works
4,20160518,3265,83.163.50.165,2001:980:57a4:1:220:4aff:fec8:244a,system-v1,v4-v6-works
8,20160518,3265,83.68.21.139,2001:984:aee9:6:220:4aff:fec8:2464,system-v1,v4-v6-works
13,20160518,3265,80.101.127.77,2001:981:3af7:1:220:4aff:fec8:2068,system-v1,v4-v6-works
14,20160518,3333,193.0.10.197,2001:67c:2e8:13:220:4aff:fec8:25d5,system-v1,v4-v6-works
15,20160518,3333,193.0.0.78,2001:67c:2e8:ffe2:220:4aff:fec6:cc6e,system-v1,v4-v6-works
20,20160518,3265,82.95.178.49,2001:980:1203:1:220:4aff:fec6:cc56,system-v1,v4-v6-works
38,20160518,3265,80.101.155.185,2001:981:88ba:1:220:4aff:febf:fd6f,system-v1,v4-v6-works
45,20160518,12322,88.169.11.252,2a01:e35:8a90:bfc0:220:4aff:fec8:231c,system-v1,v4-v6-works
52,20160518,29492,87.248.31.16,2a02:a18:7510:201:220:4aff:fec8:22d5,system-v1,v4-v6-works
57,20160518,20621,217.69.64.206,2001:aa8:fffe:3:220:4aff:fec8:2098,system-v1,v4-v6-works
58,20160518,6734,147.123.15.2,2a02:9a8:1:100:220:4aff:fec8:24ca,system-v1,v4-v6-works
71,20160518,50629,,,system-v1,v4-v6-works
82,20160518,25560,,,system-v1,v4-v6-works
88,20160518,3292,,,system-v1,v4-v6-works
92,20160518,12859,213.136.0.35,2001:7b8:610:0:220:4aff:fec8:24bd,system-v1,v4-v6-works
93,20160518,681,192.107.171.139,2001:df0:4:800:220:4aff:fec8:249f,system-v1,v4-v6-works
107,20160518,3265,,,system-v1,v4-v6-works
114,20160518,2607,192.108.131.3,2001:4118:100:1:220:4aff:fec8:227a,system-v1,v4-v6-works
118,20160518,8473,,,system-v1,v4-v6-works
121,20160518,41164,84.209.83.142,2a02:fe0:c420:87d:220:4aff:fec6:cd7a,system-v1,v4-v6-works
122,20160518,2852,195.113.232.222,2001:718:1:10:220:4aff:fec8:25bc,system-v1,v4-v6-works
133,20160518,25454,,,system-v1,v4-v6-works
134,20160518,3292,,,system-v1,v4-v6-works
138,20160518,39029,87.238.56.246,2a02:c0:303::1,system-v1,v4-v6-works
141,20160518,3303,83.77.61.224,2a02:1205:34d3:de02:220:4aff:fec6:cbe6,system-v1,v4-v6-works
142,20160518,12637,85.94.192.29,2001:4b78:2:a:220:4aff:febf:fc46,system-v1,v4-v6-works
143,20160518,29134,217.31.48.35,2001:1ab0:7e1e:c:220:4aff:fec8:239a,system-v1,v4-v6-works
144,20160518,12637,212.25.179.151,2001:4b78:1:f:220:4aff:fec8:22f6,system-v1,v4-v6-works
147,20160518,8903,212.49.129.251,2001:ac0::220:4aff:febf:fd49,system-v1,v4-v6-works
